draft_pick,player_name,college_team,college_conf,games_played,minutes_per_game,off_rating,usage_pct,effective_fg_pct,true_shooting_pct,off_reb_pct,def_reb_pct,assist_pct,turnover_pct,ft_made,ft_attempted,ft_pct,two_pt_made,two_pt_attempted,two_pt_pct,three_pt_made,three_pt_attempted,three_pt_pct,block_pct,steal_pct,ft_rate,class_year,off_impact_metric,adj_off_efficiency,personal_foul_rate,year,assist_to_turnover,rim_made,rim_attempted,midrange_made,midrange_attempted,rim_pct,midrange_pct,dunks_made,dunks_attempted,def_rating,adj_def_rating,def_impact_metric,stops,bpm,off_bpm,def_bpm,game_bpm,minutes_played,off_game_bpm,def_game_bpm,off_rebounds,def_rebounds,total_rebounds,assists,steals,blocks,points,position,combine_height,combine_weight,combine_BMI,wingspan,standing_reach,bench_power
-1,Sion James,Tulane,Amer,23,64.9,89.5,15.6,46.6,51.34,2.0,13.4,16.2,24.8,39,60,0.65,37,77,0.481,7,25,0.28,1.1,2.8,58.8,Fr,0.128627,86.6839,3.4,2021,1.12814763,30.0,52.0,4.0,15.0,0.5769,0.2667,2.0,2.0,97.4151,96.3805,2.78091,117.791,0.141881,-2.37087,2.51276,-1.32811,25.9565,-3.2229,1.89479,0.4783,3.0435,3.5217,1.913,1.2174,0.2174,5.8261,SG,76.5,218.0,26.2,78.5,100.0,102.6%
-1,Jamir Watkins,VCU,A10,26,45.8,97.2,21.3,45.9,50.8,3.6,12.2,7.5,16.2,44,59,0.746,39,81,0.481,22,76,0.289,1.4,2.7,37.6,Fr,1.05884,101.898,3.4,2021,0.62067424,29.0,57.0,10.0,24.0,0.5088,0.4167,11.0,13.0,93.4197,90.5343,2.3363,92.5629,0.96005,-0.0754945,1.03554,1.65658,18.4231,0.0124548,1.64412,0.5385,2.0385,2.5769,0.6923,0.8846,0.2308,7.2308,SF,77.0,214.6,25.4,83.25,102.5,108.1%
-1,Dalen Terry,Arizona,P12,26,51.3,98.2,14.1,48.9,51.78,4.3,13.4,12.5,23.9,27,44,0.614,25,51,0.49,14,43,0.326,2.1,2.1,46.8,Fr,0.616249,93.9048,4.5,2021,1.22578218,18.0,27.0,7.0,24.0,0.6667,0.2917,4.0,4.0,99.3756,94.163,2.35788,101.706,4.69422,1.54171,3.15251,1.99355,20.7308,-0.554358,2.5479,0.7692,2.4231,3.1923,1.4615,0.7308,0.3846,4.5769,SG,78.0,195.2,22.6,84.75,106.0,108.7%
-1,Azuolas Tubelis,Arizona,P12,26,66.1,104.0,24.7,52.6,56.24,11.3,19.4,9.8,20.8,74,107,0.692,102,189,0.54,13,42,0.31,2.6,1.3,46.3,Fr,2.74896,115.22,3.7,2021,0.52459298,80.0,121.0,22.0,68.0,0.6612,0.3235,16.0,19.0,98.917,93.7285,3.0758,133.409,4.17512,2.31247,1.86265,3.56127,26.6923,2.88768,0.673592,2.5769,4.5,7.0769,1.2308,0.5769,0.6154,12.1923,PF,80.8,234.8,25.3,83.0,108.0,102.8%
51,Brandon Boston Jr.,Kentucky,SEC,25,75.9,96.4,21.4,40.7,44.72,4.7,11.1,11.3,12.5,51,65,0.785,73,190,0.384,30,100,0.3,0.5,2.5,22.4,Fr,2.05213,104.725,2.6,2021,1.13888883,43.0,86.0,30.0,104.0,0.5,0.2885,9.0,10.0,100.904,94.4215,3.46091,137.55,2.94344,1.98327,0.96017,2.14957,30.68,0.781566,1.368,1.32,3.16,4.48,1.64,1.32,0.16,11.48,SF,77.75,188.0,21.9,82.75,104.0,106.4%
-1,Bennedict Mathurin,Arizona,P12,26,61.9,121.6,18.7,57.2,62.49,5.8,16.3,9.2,14.5,66,78,0.846,50,96,0.521,38,91,0.418,0.3,1.6,41.7,Fr,3.41081,124.952,2.6,2021,1.0,39.0,56.0,11.0,40.0,0.6964,0.275,13.0,14.0,100.648,95.3686,2.73986,116.274,6.33257,5.43778,0.894787,6.57219,25.0,5.44066,1.13153,1.2308,3.5385,4.7692,1.1538,0.6923,0.0769,10.7692,SG,76.5,204.6,24.6,81.0,104.0,105.9%
21,Keon Johnson,Tennessee,SEC,27,62.5,95.2,27.3,47.4,51.71,4.8,11.2,21.2,22.5,71,101,0.703,97,198,0.49,13,48,0.271,1.9,2.6,41.1,Fr,2.04202,108.795,3.8,2021,0.9436796,54.0,93.0,44.0,106.0,0.5806,0.4151,15.0,20.0,93.27,88.5922,3.35407,131.244,1.94442,-0.372935,2.31736,2.8345,25.0,0.439697,2.3948,1.037,2.4444,3.4815,2.4815,1.1111,0.4074,11.2593,SG,75.5,184.8,22.8,79.25,97.0,105.0%
-1,Vladislav Goldin,Texas Tech,B12,10,4.0,107.9,21.7,35.3,46.74,4.9,20.6,8.5,5.9,7,7,1.0,6,17,0.353,0,0,0.0,2.6,2.5,41.2,Fr,0.42055,111.042,6.0,2021,2.0,6.0,11.0,0.0,6.0,0.5455,0.0,1.0,1.0,89.6327,90.2193,0.604028,10.5015,0.435718,-1.12011,1.55583,0.0115381,4.7,-2.44412,2.45566,0.2,0.8,1.0,0.2,0.2,0.1,1.9,C,84.0,253.0,25.2,89.25,111.0,106.3%
-1,Marcus Williams,Wyoming,MWC,25,76.9,101.6,27.4,51.6,55.21,0.7,8.9,28.7,20.1,79,112,0.705,91,172,0.529,36,109,0.33,0.8,2.5,39.9,Fr,2.72762,110.8,2.7,2021,1.42666674,58.0,107.0,33.0,65.0,0.5421,0.5077,7.0,8.0,108.441,108.162,2.03005,127.624,-0.601782,1.44571,-2.0475,-0.10273,31.08,1.58725,-1.68998,0.2,2.32,2.52,4.28,1.36,0.24,14.76,PG,74.0,215.0,27.6,79.0,97.5,106.8%
-1,Nate Robinson,Seattle,WAC,12,33.3,96.8,18.1,45.4,50.39,1.6,8.8,1.6,12.3,21,28,0.75,18,50,0.36,11,26,0.423,1.8,1.3,36.8,Jr,0.613042,93.5696,2.5,2021,0.20004801,14.0,31.0,4.0,19.0,0.4516,0.2105,0.0,1.0,105.207,103.382,1.76041,41.0156,-4.95574,-3.44805,-1.50769,-1.64586,21.25,-1.02435,-0.621506,0.3333,1.5,1.8333,0.1667,0.5,0.3333,7.5,PG,67.75,181.0,27.7,73.0,91.5,107.7%
